12:14:41.124 -> Scanning... (port: 0x10000E9C), time (ms): 66667
12:14:41.124 -> 	0x1 detected
12:14:41.124 -> 	0x2 detected
12:14:41.158 -> 	0x3 detected
12:14:41.158 -> 	0x4 detected
12:14:41.158 -> 	0x5 detected
12:14:41.158 -> 	0x6 detected
12:14:41.158 -> 	0x7 detected
12:14:41.158 -> 	0x8 detected
12:14:41.158 -> 	0x9 detected
12:14:41.158 -> 	0xA detected
12:14:41.158 -> 	0xB detected
12:14:41.158 -> 	0xC detected
12:14:41.158 -> 	0xD detected
12:14:41.158 -> 	0xE detected
12:14:41.158 -> 	0xF detected
12:14:41.158 -> 	0x10 detected
12:14:41.158 -> 	0x11 detected
12:14:41.158 -> 	0x12 detected
12:14:41.158 -> 	0x13 detected
12:14:41.158 -> 	0x14 detected
12:14:41.158 -> 	0x15 detected
12:14:41.158 -> 	0x16 detected
12:14:41.158 -> 	0x17 detected
12:14:41.158 -> 	0x18 detected
12:14:41.158 -> 	0x19 detected
12:14:41.158 -> 	0x1A detected
12:14:41.193 -> 	0x1B detected
12:14:41.193 -> 	0x1C detected
12:14:41.193 -> 	0x1D detected
12:14:41.193 -> 	0x1E detected
12:14:41.193 -> 	0x1F detected
12:14:41.193 -> 	0x20 detected
12:14:41.193 -> 	0x21 detected
12:14:41.193 -> 	0x22 detected
12:14:41.193 -> 	0x23 detected
12:14:41.193 -> 	0x24 detected
12:14:41.193 -> 	0x25 detected
12:14:41.193 -> 	0x26 detected
12:14:41.193 -> 	0x27 detected
12:14:41.193 -> 	0x28 detected
12:14:41.193 -> 	0x29 detected
12:14:41.193 -> 	0x2A detected
12:14:41.193 -> 	0x2B detected
12:14:41.193 -> 	0x2C detected
12:14:41.193 -> 	0x2D detected
12:14:41.193 -> 	0x2E detected
12:14:41.193 -> 	0x2F detected
12:14:41.193 -> 	0x30 detected
12:14:41.193 -> 	0x31 detected
12:14:41.231 -> 	0x32 detected
12:14:41.231 -> 	0x33 detected
12:14:41.231 -> 	0x34 detected
12:14:41.231 -> 	0x35 detected
12:14:41.231 -> 	0x36 detected
12:14:41.231 -> 	0x37 detected
12:14:41.231 -> 	0x38 detected
12:14:41.231 -> 	0x39 detected
12:14:41.231 -> 	0x3A detected
12:14:41.231 -> 	0x3B detected
12:14:41.231 -> 	0x3C detected
12:14:41.231 -> 	0x3D detected
12:14:41.231 -> 	0x3E detected
12:14:41.231 -> 	0x3F detected
12:14:41.231 -> 	0x40 detected
12:14:41.231 -> 	0x41 detected
12:14:41.231 -> 	0x42 detected
12:14:41.231 -> 	0x43 detected
12:14:41.231 -> 	0x44 detected
12:14:41.231 -> 	0x45 detected
12:14:41.231 -> 	0x46 detected
12:14:41.231 -> 	0x47 detected
12:14:41.231 -> 	0x48 detected
12:14:41.231 -> 	0x49 detected
12:14:41.231 -> 	0x4A detected
12:14:41.231 -> 	0x4B detected
12:14:41.267 -> 	0x4C detected
12:14:41.267 -> 	0x4D detected
12:14:41.267 -> 	0x4E detected
12:14:41.267 -> 	0x4F detected
12:14:41.267 -> 	0x50 detected
12:14:41.267 -> 	0x51 detected
12:14:41.267 -> 	0x52 detected
12:14:41.267 -> 	0x53 detected
12:14:41.267 -> 	0x54 detected
12:14:41.267 -> 	0x55 detected
12:14:41.267 -> 	0x56 detected
12:14:41.267 -> 	0x57 detected
12:14:41.267 -> 	0x58 detected
12:14:41.267 -> 	0x59 detected
12:14:41.267 -> 	0x5A detected
12:14:41.267 -> 	0x5B detected
12:14:41.267 -> 	0x5C detected
12:14:41.267 -> 	0x5D detected
12:14:41.267 -> 	0x5E detected
12:14:41.267 -> 	0x5F detected
12:14:41.267 -> 	0x60 detected
12:14:41.267 -> 	0x61 detected
12:14:41.267 -> 	0x62 detected
12:14:41.267 -> 	0x63 detected
12:14:41.267 -> 	0x64 detected
12:14:41.267 -> 	0x65 detected
12:14:41.301 -> 	0x66 detected
12:14:41.301 -> 	0x67 detected
12:14:41.301 -> 	0x68 detected
12:14:41.301 -> 	0x69 detected
12:14:41.301 -> 	0x6A detected
12:14:41.301 -> 	0x6B detected
12:14:41.301 -> 	0x6C detected
12:14:41.301 -> 	0x6D detected
12:14:41.301 -> 	0x6E detected
12:14:41.301 -> 	0x6F detected
12:14:41.301 -> 	0x70 detected
12:14:41.301 -> 	0x71 detected
12:14:41.301 -> 	0x72 detected
12:14:41.301 -> 	0x73 detected
12:14:41.301 -> 	0x74 detected
12:14:41.301 -> 	0x75 detected
12:14:41.301 -> 	0x76 detected
12:14:41.301 -> 	0x77 detected
12:14:41.301 -> 	0x78 detected
12:14:41.301 -> 	0x79 detected
12:14:41.301 -> 	0x7A detected
12:14:41.301 -> 	0x7B detected
12:14:41.301 -> 	0x7C detected
12:14:41.334 -> 	0x7D detected
12:14:41.334 -> 	0x7E detected
12:14:41.334 -> 
12:14:41.334 -> Scanning... (port: 0x10001190), time (ms): 66851
12:14:41.371 -> 	No device detected!
