Time:6643,AccPitch:112.01, AccRoll:102.59
Time:6649,AccPitch:112.16, AccRoll:102.60
Time:6655,AccPitch:112.78, AccRoll:102.72
Time:6661,AccPitch:113.36, AccRoll:102.57
Time:6667,AccPitch:114.94, AccRoll:104.08
Time:6673,AccPitch:113.02, AccRoll:103.22
Time:6678,AccPitch:111.85, AccRoll:102.13
Time:6684,AccPitch:110.62, AccRoll:101.71
Time:6690,AccPitch:112.23, AccRoll:102.71
Time:6696,AccPitch:113.92, AccRoll:103.43
Time:6702,AccPitch:112.59, AccRoll:102.80
Time:6708,AccPitch:113.08, AccRoll:103.19
Time:6714,AccPitch:113.06, AccRoll:103.19
Time:6720,AccPitch:112.74, AccRoll:102.58
Time:6726,AccPitch:113.86, AccRoll:103.35
Time:6731,AccPitch:113.14, AccRoll:103.13
Time:6737,AccPitch:111.86, AccRoll:102.74
Time:6743,AccPitch:113.35, AccRoll:103.47
Time:6749,AccPitch:113.23, AccRoll:103.61
Time:6755,AccPitch:113.66, AccRoll:103.57
Time:6761,AccPitch:112.96, AccRoll:102.87
Time:6767,AccPitch:112.12, AccRoll:102.63
Time:6773,AccPitch:113.40, AccRoll:103.37
Time:6779,AccPitch:111.40, AccRoll:102.25
Time:6785,AccPitch:113.23, AccRoll:103.15
Time:6790,AccPitch:113.33, AccRoll:102.83
Time:6796,AccPitch:113.63, AccRoll:103.44
Time:6802,AccPitch:111.54, AccRoll:102.42
Time:6808,AccPitch:112.97, AccRoll:103.29
Time:6814,AccPitch:113.81, AccRoll:103.60
Time:6820,AccPitch:112.12, AccRoll:102.83
Time:6826,AccPitch:112.98, AccRoll:103.16
Time:6832,AccPitch:112.03, AccRoll:102.42
Time:6838,AccPitch:113.54, AccRoll:103.19
Time:6843,AccPitch:112.55, AccRoll:103.24
Time:6849,AccPitch:111.83, AccRoll:102.33
Time:6855,AccPitch:111.85, AccRoll:102.52
Time:6861,AccPitch:112.71, AccRoll:102.64
Time:6867,AccPitch:113.82, AccRoll:103.60
Time:6873,AccPitch:113.64, AccRoll:103.55
Time:6879,AccPitch:112.36, AccRoll:102.63
Time:6885,AccPitch:113.60, AccRoll:103.25
Time:6891,AccPitch:112.57, AccRoll:102.77
Time:6897,AccPitch:112.53, AccRoll:102.68
Time:6902,AccPitch:114.12, AccRoll:103.44
Time:6908,AccPitch:111.99, AccRoll:102.42
Time:6914,AccPitch:112.10, AccRoll:102.74
Time:6920,AccPitch:113.12, AccRoll:102.89
Time:6926,AccPitch:111.80, AccRoll:102.31
Time:6932,AccPitch:113.93, AccRoll:103.77
Time:6938,AccPitch:112.60, AccRoll:102.97
Time:6944,AccPitch:112.80, AccRoll:102.87
Time:6950,AccPitch:113.80, AccRoll:103.37
Time:6955,AccPitch:113.57, AccRoll:103.34
Time:6961,AccPitch:112.31, AccRoll:102.82
Time:6967,AccPitch:112.88, AccRoll:103.07
Time:6973,AccPitch:112.53, AccRoll:102.82
Time:6979,AccPitch:113.77, AccRoll:103.63
Time:6985,AccPitch:113.47, AccRoll:103.50
Time:6991,AccPitch:111.81, AccRoll:102.48
Time:6997,AccPitch:113.69, AccRoll:103.33
Time:7003,AccPitch:112.61, AccRoll:102.84
Time:7009,AccPitch:112.70, AccRoll:102.85
Time:7014,AccPitch:113.88, AccRoll:103.63
Time:7020,AccPitch:113.64, AccRoll:103.71
Time:7026,AccPitch:112.83, AccRoll:103.38
Time:7032,AccPitch:112.88, AccRoll:102.69
Time:7038,AccPitch:114.26, AccRoll:103.96
Time:7044,AccPitch:112.51, AccRoll:102.62
Time:7050,AccPitch:112.47, AccRoll:102.93
Time:7056,AccPitch:110.79, AccRoll:102.07
Time:7062,AccPitch:112.12, AccRoll:102.69
Time:7067,AccPitch:113.57, AccRoll:103.72
Time:7073,AccPitch:113.43, AccRoll:103.35
Time:7079,AccPitch:112.32, AccRoll:103.02
Time:7085,AccPitch:112.88, AccRoll:103.01
Time:7091,AccPitch:112.49, AccRoll:102.65
Time:7097,AccPitch:110.52, AccRoll:101.68
Time:7103,AccPitch:111.74, AccRoll:102.18
Time:7109,AccPitch:113.17, AccRoll:103.22
Time:7115,AccPitch:113.46, AccRoll:103.45
Time:7121,AccPitch:111.88, AccRoll:102.24
Time:7126,AccPitch:112.80, AccRoll:103.13
Time:7132,AccPitch:112.74, AccRoll:103.17
Time:7138,AccPitch:112.83, AccRoll:102.95
Time:7144,AccPitch:112.85, AccRoll:102.63
Time:7150,AccPitch:112.32, AccRoll:102.92
Time:7156,AccPitch:112.54, AccRoll:102.68
Time:7162,AccPitch:112.64, AccRoll:102.80
Time:7168,AccPitch:112.76, AccRoll:102.55
Time:7174,AccPitch:113.18, AccRoll:103.17
Time:7179,AccPitch:111.83, AccRoll:102.21
Time:7185,AccPitch:114.10, AccRoll:103.71
Time:7191,AccPitch:113.22, AccRoll:103.56
Time:7197,AccPitch:114.60, AccRoll:103.88
Time:7203,AccPitch:113.36, AccRoll:103.38
Time:7209,AccPitch:112.51, AccRoll:102.59
Time:7215,AccPitch:112.82, AccRoll:103.10
Time:7221,AccPitch:112.78, AccRoll:102.87
Time:7227,AccPitch:111.52, AccRoll:102.31
Time:7233,AccPitch:111.69, AccRoll:102.50
Time:7238,AccPitch:114.76, AccRoll:103.86
Time:7244,AccPitch:113.56, AccRoll:103.46
Time:7250,AccPitch:111.89, AccRoll:102.38
Time:7256,AccPitch:112.70, AccRoll:102.82
Time:7262,AccPitch:112.06, AccRoll:102.71
Time:7268,AccPitch:113.36, AccRoll:103.37
Time:7274,AccPitch:112.45, AccRoll:102.73
Time:7280,AccPitch:112.92, AccRoll:102.97
Time:7286,AccPitch:112.35, AccRoll:102.42
Time:7291,AccPitch:113.73, AccRoll:103.55
Time:7297,AccPitch:113.99, AccRoll:103.69
Time:7303,AccPitch:113.24, AccRoll:103.23
Time:7309,AccPitch:135.00, AccRoll:-135.00
Time:7315,AccPitch:135.00, AccRoll:137.96
Time:7321,AccPitch:163.50, AccRoll:166.23
Time:7327,AccPitch:-035.89, AccRoll:041.31
Time:7333,AccPitch:-033.56, AccRoll:014.09
Time:7339,AccPitch:005.52, AccRoll:038.29
Time:7345,AccPitch:-011.94, AccRoll:044.45
Time:7351,AccPitch:-008.00, AccRoll:045.98
Time:7357,AccPitch:-034.68, AccRoll:052.99
Time:7363,AccPitch:-044.70, AccRoll:059.97
Time:7369,AccPitch:-039.28, AccRoll:060.45
Time:7375,AccPitch:-060.71, AccRoll:057.98
Time:7381,AccPitch:-032.49, AccRoll:048.32
Time:7387,AccPitch:006.36, AccRoll:070.36
Time:7393,AccPitch:138.89, AccRoll:094.64
Time:7398,AccPitch:049.67, AccRoll:044.74
Time:7404,AccPitch:147.30, AccRoll:165.38
Time:7410,AccPitch:129.67, AccRoll:161.72
Time:7416,AccPitch:138.93, AccRoll:158.46
Time:7422,AccPitch:135.13, AccRoll:147.06
Time:7428,AccPitch:130.04, AccRoll:134.48
Time:7434,AccPitch:146.71, AccRoll:138.76
Time:7440,AccPitch:107.90, AccRoll:100.58
Time:7446,AccPitch:123.23, AccRoll:100.28
Time:7451,AccPitch:122.53, AccRoll:097.70
Time:7457,AccPitch:016.40, AccRoll:078.80
Time:7463,AccPitch:-002.14, AccRoll:075.48
Time:7469,AccPitch:032.64, AccRoll:071.51
Time:7475,AccPitch:094.80, AccRoll:095.74
Time:7481,AccPitch:102.24, AccRoll:100.51
Time:7487,AccPitch:096.00, AccRoll:096.46
Time:7493,AccPitch:098.09, AccRoll:100.07
Time:7499,AccPitch:097.15, AccRoll:100.19
Time:7505,AccPitch:101.83, AccRoll:105.55
Time:7510,AccPitch:095.07, AccRoll:095.95
Time:7516,AccPitch:091.54, AccRoll:091.64
Time:7522,AccPitch:093.63, AccRoll:092.72
Time:7528,AccPitch:095.56, AccRoll:093.18
Time:7534,AccPitch:099.81, AccRoll:095.08
Time:7540,AccPitch:111.62, AccRoll:101.17
Time:7546,AccPitch:115.66, AccRoll:104.74
Time:7552,AccPitch:119.67, AccRoll:107.64
Time:7558,AccPitch:122.77, AccRoll:109.18
Time:7564,AccPitch:118.40, AccRoll:105.93
Time:7569,AccPitch:118.74, AccRoll:106.13
Time:7575,AccPitch:113.29, AccRoll:102.54
Time:7581,AccPitch:111.84, AccRoll:102.54
Time:7587,AccPitch:114.18, AccRoll:103.91
Time:7593,AccPitch:102.67, AccRoll:096.84
Time:7599,AccPitch:100.82, AccRoll:095.51
Time:7605,AccPitch:106.93, AccRoll:098.62
Time:7611,AccPitch:106.94, AccRoll:098.26
