Time:7680,AccPitch:108.34, AccRoll:101.37
Time:7686,AccPitch:109.69, AccRoll:102.18
Time:7692,AccPitch:088.07, AccRoll:089.03
Time:7698,AccPitch:104.76, AccRoll:098.21
Time:7704,AccPitch:107.26, AccRoll:100.91
Time:7710,AccPitch:107.28, AccRoll:102.33
Time:7716,AccPitch:110.90, AccRoll:104.00
Time:7721,AccPitch:101.96, AccRoll:095.73
Time:7727,AccPitch:104.44, AccRoll:099.01
Time:7733,AccPitch:117.96, AccRoll:111.39
Time:7739,AccPitch:105.70, AccRoll:100.34
Time:7745,AccPitch:113.42, AccRoll:103.32
Time:7751,AccPitch:113.13, AccRoll:103.38
Time:7757,AccPitch:114.08, AccRoll:105.14
Time:7763,AccPitch:114.99, AccRoll:105.00
Time:7769,AccPitch:109.93, AccRoll:102.92
Time:7775,AccPitch:109.04, AccRoll:102.09
Time:7780,AccPitch:114.26, AccRoll:107.18
Time:7786,AccPitch:113.85, AccRoll:106.90
Time:7792,AccPitch:116.69, AccRoll:110.90
Time:7798,AccPitch:121.06, AccRoll:115.55
Time:7804,AccPitch:121.17, AccRoll:114.33
Time:7810,AccPitch:110.69, AccRoll:102.19
Time:7816,AccPitch:104.97, AccRoll:097.39
Time:7822,AccPitch:094.64, AccRoll:092.04
Time:7828,AccPitch:081.77, AccRoll:086.66
Time:7833,AccPitch:079.26, AccRoll:085.34
Time:7839,AccPitch:093.16, AccRoll:091.62
Time:7845,AccPitch:101.36, AccRoll:097.63
Time:7851,AccPitch:109.72, AccRoll:105.37
Time:7857,AccPitch:110.52, AccRoll:106.94
Time:7863,AccPitch:112.11, AccRoll:107.25
Time:7869,AccPitch:112.91, AccRoll:106.16
Time:7875,AccPitch:111.66, AccRoll:103.87
Time:7881,AccPitch:111.09, AccRoll:101.51
Time:7887,AccPitch:109.24, AccRoll:099.89
Time:7892,AccPitch:106.65, AccRoll:098.38
Time:7898,AccPitch:107.69, AccRoll:099.58
Time:7904,AccPitch:108.79, AccRoll:101.54
Time:7910,AccPitch:110.69, AccRoll:103.47
Time:7916,AccPitch:109.52, AccRoll:103.08
Time:7922,AccPitch:110.23, AccRoll:103.86
Time:7928,AccPitch:108.83, AccRoll:102.37
Time:7934,AccPitch:108.79, AccRoll:101.39
Time:7940,AccPitch:107.74, AccRoll:100.65
Time:7945,AccPitch:109.09, AccRoll:101.59
Time:7951,AccPitch:108.96, AccRoll:101.29
Time:7957,AccPitch:109.10, AccRoll:101.94
Time:7963,AccPitch:107.74, AccRoll:101.39
Time:7969,AccPitch:108.72, AccRoll:101.69
Time:7975,AccPitch:109.19, AccRoll:102.03
Time:7981,AccPitch:108.47, AccRoll:102.18
Time:7987,AccPitch:-045.00, AccRoll:-045.00
Time:7993,AccPitch:151.26, AccRoll:-148.13
Time:7999,AccPitch:142.00, AccRoll:-174.45
Time:8005,AccPitch:143.84, AccRoll:136.96
Time:8011,AccPitch:142.29, AccRoll:135.00
Time:8017,AccPitch:135.00, AccRoll:135.00
Time:8022,AccPitch:148.97, AccRoll:135.00
Time:8028,AccPitch:161.36, AccRoll:135.00
Time:8034,AccPitch:173.05, AccRoll:127.79
Time:8040,AccPitch:170.91, AccRoll:113.63
Time:8046,AccPitch:166.20, AccRoll:131.66
Time:8052,AccPitch:-101.16, AccRoll:092.88
Time:8058,AccPitch:-016.68, AccRoll:025.25
Time:8064,AccPitch:-010.65, AccRoll:020.37
Time:8070,AccPitch:-024.33, AccRoll:026.00
Time:8076,AccPitch:-002.83, AccRoll:015.17
Time:8082,AccPitch:011.53, AccRoll:009.10
Time:8088,AccPitch:033.58, AccRoll:027.99
Time:8094,AccPitch:072.33, AccRoll:045.75
Time:8100,AccPitch:071.91, AccRoll:061.43
Time:8105,AccPitch:095.93, AccRoll:098.65
Time:8111,AccPitch:110.57, AccRoll:117.53
Time:8117,AccPitch:114.82, AccRoll:118.04
Time:8123,AccPitch:098.31, AccRoll:097.05
Time:8129,AccPitch:110.90, AccRoll:104.91
Time:8135,AccPitch:099.88, AccRoll:096.22
Time:8141,AccPitch:109.61, AccRoll:102.46
Time:8147,AccPitch:120.96, AccRoll:106.49
Time:8153,AccPitch:125.38, AccRoll:106.57
Time:8158,AccPitch:120.56, AccRoll:107.65
Time:8164,AccPitch:112.48, AccRoll:102.18
Time:8170,AccPitch:124.00, AccRoll:114.57
Time:8176,AccPitch:125.91, AccRoll:115.62
Time:8182,AccPitch:127.27, AccRoll:113.49
Time:8188,AccPitch:118.98, AccRoll:108.79
Time:8194,AccPitch:117.58, AccRoll:104.84
Time:8200,AccPitch:109.16, AccRoll:099.30
Time:8206,AccPitch:109.32, AccRoll:098.78
Time:8211,AccPitch:082.06, AccRoll:086.49
Time:8217,AccPitch:077.24, AccRoll:084.58
Time:8223,AccPitch:088.39, AccRoll:089.31
Time:8229,AccPitch:092.01, AccRoll:090.96
Time:8235,AccPitch:105.01, AccRoll:098.26
Time:8241,AccPitch:114.26, AccRoll:105.53
Time:8247,AccPitch:120.47, AccRoll:110.06
Time:8253,AccPitch:122.87, AccRoll:111.80
Time:8259,AccPitch:123.79, AccRoll:111.32
Time:8265,AccPitch:123.77, AccRoll:108.74
Time:8270,AccPitch:121.68, AccRoll:105.18
Time:8276,AccPitch:117.51, AccRoll:102.83
Time:8282,AccPitch:112.70, AccRoll:101.43
Time:8288,AccPitch:107.27, AccRoll:098.32
Time:8294,AccPitch:105.86, AccRoll:098.30
Time:8300,AccPitch:106.75, AccRoll:099.87
Time:8306,AccPitch:102.64, AccRoll:097.81
Time:8312,AccPitch:106.34, AccRoll:101.93
Time:8318,AccPitch:106.42, AccRoll:102.66
Time:8323,AccPitch:106.91, AccRoll:102.74
Time:8329,AccPitch:107.59, AccRoll:102.38
